Gold Price,Name,VIP Price,Event Type,Venue Type,Bronze Pct,Event ID,Time,General Admission Pct,Silver Price,Date,Bronze Price,Fireworks Cost,General Admission Price,Pct Seats Unavailable,Capacity,Reserved Extra Pct,Cost,VIP Pct,Venue Name,Gold Pct,Fireworks Planned,Silver Pct
26.88,UTEP Wind Symphony 2,40.63,Concert,Auditorium,20,46,6:00 PM,45,23.75,9/23/23,15.63,,6.25,0,1152,5,13536,5,Magoffin Auditorium,10,,15
26.88,UTEP Wind Symphony 3,40.63,Concert,Auditorium,20,47,6:00 PM,45,23.75,12/2/23,15.63,,6.25,0,1152,5,13536,5,Magoffin Auditorium,10,,15
26.88,UTEP Wind Symphony 4,40.63,Concert,Auditorium,20,48,6:00 PM,45,23.75,3/2/24,15.63,,6.25,0,1152,5,13536,5,Magoffin Auditorium,10,,15
26.88,UTEP Wind Symphony 5,40.63,Concert,Auditorium,20,49,6:00 PM,45,23.75,2/2/24,15.63,,6.25,0,1152,5,13536,5,Magoffin Auditorium,10,,15
26.88,UTEP Wind Symphony 6,40.63,Concert,Auditorium,20,50,6:00 PM,45,23.75,10/25/23,15.63,,6.25,0,1152,5,13536,5,Magoffin Auditorium,10,,15
26.88,UTEP Wind Symphony 7,40.63,Concert,Auditorium,20,51,6:00 PM,45,23.75,4/29/24,15.63,,6.25,0,1152,5,13536,5,Magoffin Auditorium,10,,15
26.88,UTEP Wind Symphony 8,40.63,Concert,Auditorium,20,52,6:00 PM,45,23.75,12/14/23,15.63,,6.25,0,1152,5,13536,5,Magoffin Auditorium,10,,15
26.88,UTEP Wind Symphony 9,40.63,Concert,Auditorium,20,53,6:00 PM,45,23.75,4/14/24,15.63,,6.25,0,1152,5,13536,5,Magoffin Auditorium,10,,15
26.88,UTEP Wind Symphony 10,40.63,Concert,Auditorium,20,54,6:00 PM,45,23.75,12/25/23,15.63,,6.25,0,1152,5,13536,5,Magoffin Auditorium,10,,15
26.88,UTEP Wind Symphony 11,40.63,Concert,Auditorium,20,55,6:00 PM,45,23.75,2/3/24,15.63,,6.25,0,1152,5,13536,5,Magoffin Auditorium,10,,15
26.88,UTEP Wind Symphony 12,40.63,Concert,Auditorium,20,56,6:00 PM,45,23.75,1/28/24,15.63,,6.25,0,1152,5,13536,5,Magoffin Auditorium,10,,15
3759.96,Taylor Swift Live,5683.67,Concert,Stadium,20,57,8:00 PM,45,3322.76,12/3/23,2186.03,1119245,874.41,4,64000,5,752000,5,Sun Bowl Stadium,10,Yes,15
3730.64,Drake Live,5639.34,Concert,Arena,20,58,8:30 PM,45,3296.84,10/14/23,2168.98,,867.59,8,14000,5,164500,5,Don Haskins Center,10,,15
4072.96,Bad Bunny Live,6156.80,Concert,Arena,20,59,8:00 PM,45,3599.36,2/26/24,2368.00,,947.20,8,14000,5,164500,5,Don Haskins Center,10,,15
3894.77,Karol G Live,5887.44,Concert,Stadium,20,60,8:00 PM,45,3441.89,4/19/24,2264.40,1159373,905.76,4,64000,5,752000,5,Sun Bowl Stadium,10,Yes,15
3867.42,RBD Live,5846.10,Concert,Arena,20,61,7:15 PM,45,3417.72,4/4/24,2248.50,,899.40,8,14000,5,164500,5,Don Haskins Center,10,,15
3469.89,Olivia Rodrigo Live,5245.18,Concert,Arena,20,62,8:00 PM,45,3066.41,9/30/23,2017.38,,806.95,8,14000,5,164500,5,Don Haskins Center,10,,15
4247.20,Shakira Live,6420.18,Concert,Stadium,20,63,8:00 PM,45,3753.34,11/20/23,2469.30,1264282,987.72,4,64000,5,752000,5,Sun Bowl Stadium,10,Yes,15
3546.25,Justin Timberlake Live,5360.62,Concert,Stadium,20,64,8:00 PM,45,3133.90,4/22/24,2061.78,,824.71,4,64000,5,752000,5,Sun Bowl Stadium,10,No,15
2150.00,Coachella 1,3250.00,Festival,Open Air,20,65,9:00 AM,45,1900.00,2/29/24,1250.00,150000,500.00,0,15000,5,176250,5,San Jacinto Plaza,10,Yes,15
2150.00,Coachella 2,3250.00,Festival,Open Air,20,66,9:00 AM,45,1900.00,3/12/24,1250.00,,500.00,0,15000,5,176250,5,San Jacinto Plaza,10,No,15
215.00,ACL,325.00,Festival,Open Air,20,67,9:00 AM,45,190.00,2/19/24,125.00,,50.00,0,15000,5,176250,5,San Jacinto Plaza,10,No,15
0.00,Minerpalooza,0.00,Festival,Open Air,20,68,6:00 PM,45,0.00,1/26/24,0.00,,0.00,0,5000,5,58750,5,Centenial Plaza,10,No,15
0.00,UTEP Commencement 1,0.00,Festival,Arena,20,69,9:00 AM,45,0.00,11/6/23,0.00,,0.00,0,12800,5,150400,5,Don Haskins Center,10,,15
0.00,UTEP Commencement 2,0.00,Festival,Arena,20,70,2:00 PM,45,0.00,9/14/23,0.00,,0.00,0,12800,5,150400,5,Don Haskins Center,10,,15
0.00,UTEP Commencement 3,0.00,Festival,Arena,20,71,7:00 PM,45,0.00,4/22/24,0.00,,0.00,0,12800,5,150400,5,Don Haskins Center,10,,15
0.00,UTEP Commencement 3,0.00,Festival,Arena,20,72,2:00 PM,45,0.00,12/18/23,0.00,,0.00,0,12800,5,150400,5,Don Haskins Center,10,,15
